鱼		0	6
鸡		7	8
鸵鸟		9	9
鸟		10	21
鹰		22	23
猫头鹰		24	24
壁虎		25	29
蛤蟆		30	30
青蛙		31	32
龟		33	37
蜥蜴		38	48
鳄鱼		49	50
恐龙		51	51
蛇		52	68
化石		69	69
蜘蛛		70	70
蝎子		71	78
蜈蚣		79	83
孔雀		84	96
鸭子		97	97
鹅		98	100
大象		101	101
刺猬		102	102
鸭嘴兽		103	103
袋鼠		104	104
考拉		105	105
土拨鼠		106	106
水母		107	107
珊瑚		108	109
海洋生物		110	110
海蛇		111	111
海螺		112	112
蜗牛		113	117
螃蟹		118	121
龙虾		122	124
寄居蟹		125	144
企鹅		145	146
鲸鱼		147	148
海象		149	149
海狮		150	150
狗		151	268
狼		269	276
狐狸		277	280
猫		281	287
豹		288	290
狮子		291	291
老虎		292	293
熊		294	297
猫鼬		298	299
昆虫		300	318
蜻蜓		319	320
蝴蝶		321	326
海星		327	327
海胆		328	329
兔子		330	332
鼠		333	334
松鼠		335	338
马		339	339
斑马		340	340
猪		341	343
河马		344	344
牛		345	347
羊		348	353
骆驼		354	354
羊驼		355	355
狸		356	362
穿山甲		363	363
树懒		364	364
狒狒		365	365
猩猩		366	366
猴子		367	386
浣熊		387	387
熊猫		388	397
算盘		398	398
穆斯林		399	399
学士服		400	400
手风琴		401	401
吉他		402	402
航空母舰		403	403
飞机		404	404
飞艇		405	405
教堂		406	406
救护车		407	407
水陆两用车		408	408
钟		409	409
箱子		410	410
围裙		411	411
垃圾箱		412	412
枪		413	413
背包		414	414
面包柜		415	415
体操		416	416
热气球		417	417
钢笔		418	418
邦迪		419	419
乐器		420	420
楼梯		421	421
杠铃		422	422
座椅		423	423
理发		424	424
木屋		425	425
表		426	426
酒桶		427	427
手推车		428	428
棒球		429	429
篮球		430	430
婴儿		431	432
游泳		433	433
婴儿毛巾		434	434
浴缸		435	435
轿车		436	436
灯塔		437	437
烧杯		438	438
守卫		439	439
啤酒		440	441
建筑		442	442
围兜		443	443
双人自行车		444	444
比基尼		445	445
笔记本		446	446
望远镜		447	447
信箱		448	448
小屋		449	449
雪橇		450	450
项链		451	451
帽子		452	452
书柜		453	453
书店		454	454
瓶盖		455	455
弓箭		456	456
领结		457	457
墓碑		458	458
胸罩		459	459
海岸		460	460
盔甲		461	461
扫帚		462	462
水桶		463	463
皮带		464	464
防弹背心		465	465
火车		466	466
肉铺		467	467
出租车		468	468
锅		469	469
蜡烛		470	470
炮		471	471
艇		472	472
订书机		473	473
毛衣		474	474
反光镜		475	475
旋转木马		476	476
工具箱		477	477
盒子		478	478
轮胎		479	479
取款机		480	480
磁带		481	482
城堡		483	483
帆船		484	484
cd播放器		485	485
大提琴		486	486
手机		487	487
铁链		488	488
铁丝网		489	490
电锯		491	491
木箱		492	492
木柜		493	493
锣鼓		494	494
柜子		495	495
袜子		496	497
剧院		498	498
刀		499	499
堡垒		500	500
斗篷		501	501
鞋子		502	502
瓶子		503	503
杯子		504	504
壶		505	505
螺旋		506	506
锁		507	507
键盘		508	508
糖果		509	509
船		510	511
开瓶器		512	512
号（乐器）		513	513
靴子		514	515
婴儿床		516	516
起重机		517	517
头盔		518	520
电饭锅		521	521
推球		522	522
拐杖		523	524
水库		525	525
办公桌		526	526
电脑		527	527
电话机		528	528
尿布		529	529
闹钟		530	530
手表		531	531
餐桌		532	532
垫子		533	533
洗碗柜		534	534
车轮		535	535
港口		536	537
穹顶		538	538
地毯		539	539
油田		540	540
鼓		541	541
鼓棒		542	542
哑铃		543	544
风扇		545	545
电吉他		546	547
电视机		548	548
信		549	549
咖啡机		550	550
化妆品		551	551
绒毛		552	553
喷泉		554	554
消防车		555	555
壁炉		556	556
旗杆		557	557
笛子		558	559
橄榄球		560	560
叉车		561	563
床		564	565
圆号		566	566
平底锅		567	567
裘皮		568	568
卡车		569	569
面具		570	570
加油		571	571
酒杯		572	572
卡丁车		573	573
高尔夫		574	574
高尔夫车		575	575
小船		576	577
婚纱		578	578
钢琴		579	579
大棚		580	581
菜场		582	582
断头台		583	583
发饰		584	584
发蜡		585	585
坦克		586	586
榔头		587	587
竹筒		588	588
吹风机		589	589
pos机		590	590
手帕		591	591
硬盘		592	592
口风琴		593	593
竖琴		594	595
斧头		596	596
手枪		597	598
蜂巢		599	599
钩子		600	600
裙子		601	602
马车		603	603
沙漏		604	604
音乐播放器		605	605
电熨斗		606	606
南瓜灯		607	607
牛仔裤		608	608
吉普车		609	609
T恤		610	610
拼图		611	611
黄包车		612	612
操纵杆		613	613
和服		614	614
护具		615	615
绳结		616	616
医生		617	617
勺子		618	618
灯		619	619
笔记本电脑		620	620
割草机		621	621
镜头盖		622	622
小刀		623	623
图书馆		624	624
救生船		625	625
打火机		626	626
加长车		627	627
轮船		628	628
口红		629	630
护肤品		631	631
音响		632	632
放大镜		633	633
原木		634	634
指南针		635	635
包		636	636
邮箱		637	637
泳衣		638	639
窨井盖		640	640
手摇铃		641	641
木琴		642	643
火柴		644	644
绳子		645	645
迷宫		646	647
冰箱		648	648
石柱		649	649
话筒		650	650
微波炉		651	651
军人		652	652
水壶		653	653
小客车		654	654
短裙		655	655
面包车		656	656
导弹		657	657
手套		658	658
碗		659	659
房车		660	660
老爷车		661	661
路由器		662	663
显示器		664	664
摩托车		665	665
砚		666	666
学士帽		667	668
蚊帐		669	669
助动车		670	670
自行车		671	671
帐篷		672	672
键盘鼠标		673	673
捕鼠夹		674	674
货车		675	675
狗嘴套		676	676
钉子		677	677
颈托		678	679
奶瓶		680	682
黑管		683	683
埙		684	684
仪表盘		685	685
机油滤清器		686	686
管风琴		687	687
示波器		688	688
礼服		689	689
牛车		690	690
呼吸器		691	691
零食		692	692
划桨		693	693
水轮		694	695
刷子		696	696
睡衣		697	699
纸巾		700	700
降落伞		701	702
长椅		703	703
停车缴费器		704	705
院子		706	706
公用电话		707	707
柱子		708	708
文具袋		709	709
卷笔刀		710	710
香水		711	711
培养皿		712	712
打印机		713	713
吉他拨片		714	715
栅栏		716	717
桥		718	718
储蓄罐		719	719
药丸		720	720
枕头		721	721
乒乓球		722	722
风车		723	724
茶壶		725	725
刨子		726	727
塑料袋		728	728
碗架		729	729
推土机		730	730
搋子		731	731
相机		732	732
杆子		733	733
警车		734	734
披风		735	735
桌球		736	737
盆栽		738	738
陶艺		739	739
钻机		740	740
毯子		741	742
监狱		743	744
投影仪		745	745
冰球		746	746
拳击		747	747
手提袋		748	748
羽毛笔		749	750
赛车		751	751
网球		752	752
加热器		753	753
收音机		754	754
卫星接收器		755	757
鱼竿		758	760
遥控器		761	761
餐厅		762	763
狙击枪		764	764
摇椅		765	765
烤箱		766	766
橡皮		767	768
尺		769	769
运动鞋		770	770
保险箱		771	771
回形针		772	772
调料瓶		773	773
拖鞋		774	774
长裙		775	775
萨克斯		776	776
剑		777	777
秤		778	778
校车		779	780
计分板		781	782
螺丝		783	783
螺丝刀		784	784
安全带		785	785
缝纫机		786	786
盾牌		787	787
鞋店		788	788
榻榻米		789	789
购物篮		790	790
购物车		791	791
铲子		792	792
浴帽		793	793
浴帘		794	794
滑雪		795	795
面罩		796	796
睡袋		797	797
游标卡尺		798	798
移门		799	799
老虎机		800	800
游泳眼镜		801	801
滑雪车		802	802
铲雪车		803	803
洗手液		804	804
足球		805	806
太阳能板		807	810
电热器		811	811
航天飞船		812	812
锅铲		813	813
快艇		814	814
蜘蛛网		815	815
毛线		816	816
运动型轿车		817	817
探照灯		818	818
乐队		819	819
蒸汽机车		820	822
听诊器		823	823
担架		824	824
石堆		825	825
秒表		826	826
火炉		827	827
滤网		828	828
公交车		829	830
沙发		831	831
皇宫		832	833
西装		834	834
日晷		835	835
墨镜		836	837
防晒霜		838	839
拖把		840	840
连帽衫		841	841
沙滩裤		842	842
秋千		843	843
开关		844	844
针筒		845	845
台灯		846	847
磁带播放器		848	849
毛绒玩具		850	852
草屋		853	853
幕布		854	854
指套		855	855
装甲车		856	856
皇位		857	857
瓦片		858	858
面包机		859	859
烟酒店		860	860
马桶		861	861
火炬		862	862
图腾		863	863
大卡车		864	864
玩具店		865	865
拖拉机		866	866
大货车		867	867
碟子		868	868
风衣		869	869
儿童自行车		870	871
三脚架		872	872
拱门		873	873
巴士		874	874
长号		875	876
闸机		877	877
打字机		878	878
伞		879	879
独轮车		880	881
吸尘器		882	882
花瓶		883	883
拱廊		884	884
珊瑚绒		885	885
自动贩卖机		886	886
教皇袍		887	888
小提琴		889	889
排球		890	890
煎饼锅		891	891
挂钟		892	892
钱夹		893	895
台盆		896	896
洗衣机		897	897
水瓶		898	899
煤气包		900	901
哨子		902	902
头发		903	903
窗户		904	904
百叶窗		905	905
领带		906	906
葡萄酒		907	908
炒锅		909	910
围巾		911	912
沉船		913	914
蒙古包		915	915
网页		916	916
海报		917	917
填字游戏		918	918
交通标志		919	919
交通灯		920	920
书		921	921
菜单		922	922
菜		923	926
蛋糕		927	927
冰激凌		928	928
棒冰		929	929
面包		930	930
甜甜圈		931	932
汉堡		933	933
热狗		934	934
焗饭		935	935
蔬菜		936	936
西蓝花		937	937
花椰菜		938	939
金瓜		940	940
南瓜		941	942
黄瓜		943	944
青椒		945	945
花		946	946
蘑菇		947	947
苹果		948	948
草莓		949	949
橙子		950	950
柠檬		951	951
水果		952	952
菠萝		953	953
香蕉		954	954
榴莲		955	956
石榴		957	957
草垛		958	958
意大利面		959	959
甜品		960	960
面团		961	961
肉酱		962	962
披萨		963	963
派		964	964
肉卷		965	965
红酒		966	966
咖啡		967	967
